No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
2,2.92771,69.171.250.60,192.168.43.53,TLSv1.2,582,Application Data,,,,,,,,,,,,,,,2.971888,2.92771,0.044178,0.185776,0.141598
3,2.971888,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=529 Win=64752 Len=0,,,,,,,,,,,,,,,3.157664,2.971888,0.185776,0.041071,0.144705
7,3.157664,192.168.43.53,104.214.78.152,TCP,74,53435  >  443 [SYN] Seq=0 Win=65160 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=116571786 TSecr=0,,,,,,,,,,,,,,,3.198735,3.157664,0.041071,0.000165,0.040906
8,3.198735,104.214.78.152,192.168.43.53,TCP,70,"443  >  53435 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1360 SACK_PERM=1 TSval=1043004448 TSecr=116571786",,,,,,,,,,,,,,,3.1989,3.198735,0.000165,0.008265,0.0081
9,3.1989,192.168.43.53,104.214.78.152,TCP,66,53435  >  443 [ACK] Seq=1 Ack=1 Win=65160 Len=0 TSval=116571828 TSecr=1043004448,,,,,,,,,,,,,,,3.207165,3.1989,0.008265,0.040968,0.032703
10,3.207165,192.168.43.53,104.214.78.152,TLSv1.2,280,Client Hello,,,,,,,,,,,,,,,3.248133,3.207165,0.040968,4.009356,3.968388
11,3.248133,104.214.78.152,192.168.43.53,TCP,66,443  >  53435 [ACK] Seq=1 Ack=215 Win=4054 Len=0 TSval=1043004457 TSecr=116571836,,,,,,,,,,,,,,,7.257489,3.248133,4.009356,0.000629,4.008727
15,7.257489,104.214.78.152,192.168.43.53,TCP,54,"443  >  53435 [RST, ACK] Seq=1 Ack=215 Win=0 Len=0",,,,,,,,,,,,,,,7.258118,7.257489,0.000629,0.077349,0.07672
16,7.258118,192.168.43.53,104.214.78.152,TCP,74,53436  >  443 [SYN] Seq=0 Win=65160 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=116575887 TSecr=0,,,,,,,,,,,,,,,7.335467,7.258118,0.077349,0.000146,0.077203
17,7.335467,104.214.78.152,192.168.43.53,TCP,70,"443  >  53436 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1360 SACK_PERM=1 TSval=3685449760 TSecr=116575887",,,,,,,,,,,,,,,7.335613,7.335467,0.000146,0.014572,0.014426
18,7.335613,192.168.43.53,104.214.78.152,TCP,66,53436  >  443 [ACK] Seq=1 Ack=1 Win=65160 Len=0 TSval=116575965 TSecr=3685449760,,,,,,,,,,,,,,,7.350185,7.335613,0.014572,0.073731,0.059159
19,7.350185,192.168.43.53,104.214.78.152,TLSv1,214,Client Hello,,,,,,,,,,,,,,,7.423916,7.350185,0.073731,4.317321,4.24359
20,7.423916,104.214.78.152,192.168.43.53,TCP,66,443  >  53436 [ACK] Seq=1 Ack=149 Win=3988 Len=0 TSval=3685449784 TSecr=116575979,,,,,,,,,,,,,,,11.741237,7.423916,4.317321,0,4.317321
22,11.741237,69.171.250.60,192.168.43.53,TLSv1.2,310,Application Data,,,,,,,,,,,,,,,11.741237,11.741237,0,0.000135,0.000135
23,11.741237,104.214.78.152,192.168.43.53,TCP,66,"443  >  53436 [FIN, ACK] Seq=1 Ack=149 Win=3988 Len=0 TSval=3685454118 TSecr=116575979",,,,,,,,,,,,,,,11.741372,11.741237,0.000135,0.030228,0.030093
24,11.741372,192.168.43.53,104.214.78.152,TCP,66,53436  >  443 [ACK] Seq=149 Ack=2 Win=65160 Len=0 TSval=116580370 TSecr=3685454118,,,,,,,,,,,,,,,11.7716,11.741372,0.030228,0.007122,0.023106
25,11.7716,192.168.43.53,104.214.78.152,TCP,66,"53436  >  443 [FIN, ACK] Seq=149 Ack=2 Win=65160 Len=0 TSval=116580401 TSecr=3685454118",,,,,,,,,,,,,,,11.778722,11.7716,0.007122,0.002231,0.004891
26,11.778722,192.168.43.53,104.214.78.152,TCP,74,53437  >  443 [SYN] Seq=0 Win=65160 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=116580408 TSecr=0,,,,,,,,,,,,,,,11.780953,11.778722,0.002231,0.036471,0.03424
27,11.780953,192.168.43.53,69.171.250.60,TCP,54,53246  >  443 [ACK] Seq=1 Ack=785 Win=64496 Len=0,,,,,,,,,,,,,,,11.817424,11.780953,0.036471,0.000154,0.036317
28,11.817424,104.214.78.152,192.168.43.53,TCP,70,"443  >  53437 [SYN, ACK] Seq=0 Ack=1 Win=4380 Len=0 MSS=1360 SACK_PERM=1 TSval=1702853664 TSecr=116580408",,,,,,,,,,,,,,,11.817578,11.817424,0.000154,0.001157,0.001003
29,11.817578,192.168.43.53,104.214.78.152,TCP,66,53437  >  443 [ACK] Seq=1 Ack=1 Win=65160 Len=0 TSval=116580447 TSecr=1702853664,,,,,,,,,,,,,,,11.818735,11.817578,0.001157,0.004227,0.00307
30,11.818735,192.168.43.53,104.214.78.152,SSLv3,118,Client Hello,,,,,,,,,,,,,,,11.822962,11.818735,0.004227,0.073403,0.069176
31,11.822962,104.214.78.152,192.168.43.53,TCP,66,443  >  53436 [ACK] Seq=2 Ack=150 Win=3988 Len=0 TSval=3685454208 TSecr=116580401,,,,,,,,,,,,,,,11.896365,11.822962,0.073403,2.500594,2.427191
